Frequency(Hz),EEG(V≤)
105.078,1.12E-16
105.469,1.23E-16
105.859,1.82E-16
106.25,2.47E-16
106.641,2.44E-16
107.031,1.64E-16
107.422,8.28E-17
107.812,6.19E-17
108.203,8.51E-17
108.594,9.50E-17
108.984,6.77E-17
109.375,2.69E-17
109.766,9.88E-18
110.156,3.53E-17
110.547,8.57E-17
110.938,1.19E-16
111.328,1.03E-16
111.719,4.97E-17
112.109,5.71E-18
112.5,6.44E-18
112.891,2.92E-17
113.281,2.95E-17
113.672,1.01E-17
114.062,3.91E-18
114.453,1.33E-17
114.844,2.37E-17
115.234,4.16E-17
115.625,7.01E-17
116.016,8.40E-17
116.406,6.36E-17
116.797,2.65E-17
117.188,6.19E-18
117.578,1.48E-17
117.969,3.34E-17
118.359,4.19E-17
118.75,4.21E-17
119.141,4.23E-17
119.531,4.29E-17
119.922,4.40E-17
120.312,4.24E-17
120.703,3.04E-17
121.094,1.41E-17
121.484,7.95E-18
121.875,7.59E-18
122.266,2.36E-18
122.656,1.08E-18
123.047,1.35E-17
123.438,2.78E-17
123.828,2.97E-17
124.219,2.26E-17
124.609,1.53E-17
125,9.68E-18
125.391,4.64E-18
125.781,1.21E-18
126.172,3.37E-19
126.562,1.32E-18
126.953,3.02E-18
127.344,4.49E-18
127.734,4.37E-18
128.125,2.29E-18
128.516,8.39E-19
128.906,2.66E-18
129.297,6.03E-18
129.688,7.59E-18
130.078,7.47E-18
130.469,7.40E-18
130.859,7.66E-18
131.25,8.67E-18
131.641,9.73E-18
132.031,7.80E-18
132.422,4.22E-18
132.812,6.56E-18
133.203,1.67E-17
133.594,2.54E-17
133.984,2.44E-17
134.375,1.63E-17
134.766,8.16E-18
135.156,2.77E-18
135.547,2.42E-19
135.938,7.94E-19
136.328,2.97E-18
136.719,4.13E-18
137.109,3.90E-18
137.5,3.98E-18
137.891,5.59E-18
138.281,8.74E-18
138.672,1.19E-17
139.062,1.25E-17
139.453,1.02E-17
139.844,6.56E-18
140.234,3.72E-18
140.625,2.14E-18
141.016,1.24E-18
141.406,7.41E-19
141.797,1.00E-18
142.188,1.63E-18
142.578,1.64E-18
142.969,1.13E-18
143.359,8.11E-19
143.75,6.00E-19
144.141,3.02E-19
144.531,2.21E-19
144.922,3.55E-19
145.312,2.66E-19
145.703,6.23E-20
146.094,3.29E-19
146.484,8.39E-19
146.875,7.63E-19
147.266,2.71E-19
147.656,2.12E-19
148.047,5.50E-19
148.438,6.95E-19
148.828,5.00E-19
149.219,1.67E-19
149.609,4.26E-20
150,2.67E-19
150.391,4.45E-19
150.781,2.96E-19
151.172,8.54E-20
151.562,5.16E-20
151.953,1.13E-19
152.344,1.21E-19
152.734,5.94E-20
153.125,5.49E-20
153.516,9.69E-20
153.906,5.14E-20
154.297,1.65E-21
154.688,3.59E-20
155.078,4.24E-20
155.469,2.89E-20
155.859,6.74E-20
156.25,8.76E-20
156.641,8.19E-20
157.031,8.36E-20
157.422,4.60E-20
157.812,3.67E-21
158.203,1.80E-20
158.594,4.51E-20
158.984,5.43E-20
159.375,5.47E-20
159.766,4.90E-20
160.156,5.10E-20
160.547,4.94E-20
160.938,3.08E-20
161.328,2.32E-20
161.719,3.89E-20
162.109,5.65E-20
162.5,4.47E-20
162.891,1.30E-20
163.281,2.86E-20
163.672,7.61E-20
164.062,7.04E-20
